,Headlines,Date,Subjectivity,Polarity,Compound,Negative,Neutral,Positive,Adj Close,Adj Close Detrended
0,Airbus 'not paralyzed' by wait for new CEO  planemaking chief Lululemon hits record high on revamped stores Crude retreats on trade concerns as dollar strengthens ECB's Deutsche Bank defense shows concern and irritation Imerys unit settles talc claims for at least    million  Bloomberg Coal lobby fights black lung tax as disease rates surge UK PM May 'deeply disappointed' at U S  tariff move UK PM May 'deeply disappointed' at U S  tariff move U S  Commerce chief proceeding with China trade trip  officials COFCO buys U S  soybeans but new Trump threats make China buyers nervous Harley warns of hit from EU reprisal against Trump's tariffs Trump tweet before U S  payrolls report raises eyebrows Trump orders Energy Department to help ailing coal  nuclear plants U S  job growth surges  unemployment rate falls to     percent Honda confirms Takata air bag rupture in fatal Malaysia crash U S  Commerce chief set for China trade talks amid metals tariff rancor Marchionne ramps up SUVs as prepares to hand over Fiat Chrysler wheel Apple to debut phone to phone augmented reality  sources Volkswagen lowers      car sales outlook in Argentina  executive Facebook to pull plug on 'Trending' topics feature Trump throws ailing U S  coal  nuke plants a lifeline  triggers backlash Exclusive  U S  may soon claim up to      billion penalty from China's ZTE    sources Deutsche Bank faces another challenge with Fed stress test U S  jobs report brightens prospects for stocks  dollar Canada auto sales fall marginally in May Direct impact of U S  tariffs on EU 'limited'  ECB's Weidmann GM settles lawsuit with motorcyclist hit by self driving car Deere sues Precision Planting  AGCO claiming patent infringement Tech leads Wall Street's advance after strong jobs data Brazil says U S  tariffs and quotas unjust  still open to negotiate Exclusive  Sorrell tells investor his new venture is not targeting WPP EU initiates WTO case against U S  steel  aluminum tariffs  WTO official New Airbus chief says challenging to meet delivery goals  staff memo Daimler agrees to clear up complex emissions issues  Transport Ministry Germany threatens Daimler with      billion euro fine over emissions Spiegel India's ICICI Bank says CEO Kochhar on planned leave Salzgitter sees limited impact from U S  steel tariffs Volkswagen concerned by U S  steel and aluminum tariffs  urges dialogue Germany hopes U S  will rethink tariffs after clear EU response Fiat Chrysler to be in net cash position by end of June  CEO BMW says may source more U S  steel its auto plant after tariff move Airline executives brace for oil price turbulence at Sydney gathering Voestalpine says impact of U S  tariffs manageable Head of ArcelorMittal France calls for quotas to protect European market China hopes Chinese and U S  consumers benefit from trade ties Airlines take aim at Australia's airport privatization model Deutsche Bank making progress on turnaround  ECB source Billionaire Bollore says Vivendi will keep its investments in Italy Moody's says cartel charges facing ANZ are credit negative Nomura gets trading licence for new Frankfurt unit ahead of Brexit U S  allies hit back at Washington's steel  aluminum tariffs Deutsche Bank gets ECB  key investor support as S P questions strategy Trump discussed rebalancing trade with France's Macron  White House Lufthansa to firm up details of staff shake up by end August  board member EU to take action against U S   China at WTO  Juncker tells German media And the kitchen sink  EU to hit back at U S  tariffs Trump blasts Canada over trade  hints at lumber action U S  May payrolls gains higher than expected Australia threatens ANZ  Deutsche and Citi with criminal charges over share issue Apple declines invite to EU hearing  cites appeal against EU tax order Tencent sues Toutiao for alleged defamation  demands   yuan and apology Where's the data  Angst for commods traders as China trade figures held in limbo Toyota sheds some manufacturing to focus on new car technology Porsche denies has halted sale of new vehicles in Europe ,2018-06-01,0.392271645021645,-0.012374458874458875,-0.7538,0.11,0.784,0.106,55.974998474121094,0.5833433621997202
1,Legg Mason to pay     million to resolve U S  allegations of Libya bribery scheme Oil falls   percent  U S  crude hits lowest since early April Microsoft to take on Amazon with      billion GitHub deal SEC fines New York firm deVere    million over UK pension advice conflicts With maple syrup tariff  Canada U S  trade dispute spills beyond metals With deal to close this week  Bayer to retire Monsanto name Qualcomm asks EU court to scrap      billion antitrust fine SocGen says to pay      billion to settle U S   French probes Former State Street executive faces U S  fraud trial Walmart sells majority of Brazil unit  takes      billion charge France's PSA suspends joint ventures in Iran to avoid U S  sanctions Daimler says electric cars on target after report of launch delays Canada faces significant risks from U S  tax  trade policy  IMF Total virtual currency sales jump in      but monthly trend slows  report Most Americans oppose businesses refusing to serve gay people  Reuters Ipsos poll Tech rally helps Wall Street push higher  Nasdaq has record close Dollar falls  U S  yields rise  political fears ebb in Europe Ex Goldman Sachs programer seeks to overturn code theft conviction SocGen to pay      billion to settle Libya  Libor probes Apple focuses on speed  parental controls in software upgrades Apple issues new App Store rules aimed at streaming PC based games Exclusive  ConocoPhillips prepares to sell stake in Canada's Cenovus   sources Starbucks executive Schultz to step aside  mulling 'range of options' Exclusive  Mexico set to impose    percent tariff on U S  pork legs   sources Japan's Sharp says to buy Toshiba's PC business Chinese airlines apply fuel surcharge after three year hiatus U S  CFTC proposes rule to keep higher threshold for swap dealers Twitter Inc to join the S P      replacing Monsanto Southwest Airlines bookings drop after fatal engine blowout CFTC orders French bank Societe Generale to pay      million penalty Societe Generale to pay over      million to resolve bribery  Libor manipulation cases LVMH boss Arnault taps son for top communications job Lufthansa eyes another record summer  but sticks to profit target Metro will correct Russia situation soon  CEO En  president Sokov resigns in bid to see U S  sanctions eased Bain says will help Toshiba Memory pursue big acquisitions Hyundai Motor says reviews investing in contract manufacturing Mercedes Benz recalls       Sprinter vans in Russia  standards agency Summer of discontent  Events in June that could shake markets Global trade skirmish puts factories  recovery at risk Hyundai Motor says reviews investing in contract manufacturing Airbus sales chief defiant on A   neo demand as Boeing seals new win China's Xiaomi plans    billion CDRs in blockbuster July IPO  sources Japan Airlines to expand budget carrier's fleet after      launch  director KLM CEO says more restructuring needed at Air France Honda's China sales slump for  th month amid quality issues Airlines adjusting hedges  fares  capacity and fleet as oil price jumps Qantas plans to change Taiwan website reference  but says needs time Global airlines slash profit outlook as fuel costs jump Saudi Aramco restructures non oil assets ahead of IPO  sources BHP process to unload U S  shale operations could take until      Weak demand for aircraft hurts U S  factory orders China says in principle door is open to trade talks with U S  Trade war turns Canada's G  summit into six plus Trump Boeing ties up with Safran to push into aircraft services business Thomson Reuters names joint operating chiefs  four executives depart KPMG to layoff     employees in South Africa in latest shake up after scandal Britain's small banks ripe for takeover as CYBG and Virgin Money deal looms Big Tesla investors look like firewall for Elon Musk Australia's CBA seeks redemption with record settlement ,2018-06-04,0.4111925708699902,0.10540078201368525,-0.969,0.117,0.807,0.076,56.964500427246094,1.401236841260456
2,Expect disagreements over tariffs at G  summit  Canada official Starbucks investors mourn end of an era as Schultz exits UBS hires Solon Kentas to lead U S  consumer and retail M A Wells Fargo pulls back from U S  Midwest  selling    branches to Flagstar G  to uphold Russia sanctions  senior EU official G  to call on North Korea to get rid of nuclear weapons  senior EU official Two Allergan shareholders call for split of chairman CEO role U S  companies continued stock buyback frenzy in May  report America Movil to launch new U S  unit for business clients G  to pledge joint defense of democracies from foreign threats  EU official BlackRock promises selective fee cuts to capture growth Advent plans conversion  not expansion of Walmart's Brazil ops Brent gains after touching one month low on supply concerns Britain clears way for Murdoch to battle Comcast for Sky HP sees up to       job cuts as part of restructuring plan Nasdaq hits record closing high again  euro recovers U S  retailers  restaurants say tax law 'drafting error' delays investments Tronc's top shareholder terminates sale of stake to McCormick Media Northrop Grumman wins U S  antitrust approval to buy Orbital ATK Microsoft expands program for women returning to work Outside investors rebuke Facebook vote structure  tallies show Morocco's Centrale Danone workers protest job losses due to boycott Tesla 'quite likely' to meet Model   goal  Musk remains chairman David Koch to retire from Koch Industries due to poor health  memo Nasdaq ends at record close  S P edges higher on data Want to extend the bull market by    trillion  Add women Airlines hope flashier content for travel agents boosts sales Trump may seek separate trade deals with Canada  Mexico  U S  adviser Saudi Aramco names new head of finance after government reshuffle  sources GM China raises new energy vehicle target to    models through      Qatar Airways could face  nd straight annual loss amid Gulf crisis  CEO Mexico firms eye workaround on U S  metals tariffs  consumers in bind Toyota's May China vehicle sales      Percent year on year Factbox  Plans for electric car battery production in Europe Europe up against Asian juggernaut in electric car battery drive Japan regulators raid Kobe Steel over data tampering Australia charges investment banks with alleged cartel activity Air traffic strikes bigger threat than fuel prices in       IAG says Japan's Sharp to issue new shares worth about      billion Sharp to buy Toshiba PC business  issue      billion in new shares Emirates sees oil  dollar 'double whammy'  but demand strong Australia charges former local heads of Citi  Deutsche  ANZ in cartel case Airline boss stirs gender debate with provocative comment Britain takes       billion loss on RBS share sale China launches DRAM chip price probe into Samsung Elec  SK Hynix and Micron A decade after debut  first A    jumbos to be broken up Russian regulator says        Peugeot and Citroen cars recalled Short sellers and options traders bet on more Deutsche Bank pain StanChart plans to bring Asian operations under two main hubs Ex State Street executive cheated clients with secret fees  U S  prosecutor U S  services sector activity picks up  job openings at record high Twitter shares jump   percent as they win new follower  The S P     Voestalpine CEO to step down in      ,2018-06-05,0.3639307711258931,0.07945429908844542,-0.8897,0.092,0.831,0.076,56.983001708984375,1.2532294836374689
3,Facebook confirms data sharing with Chinese companies Oil falls on U S  crude build  global supply seen rising U S  dollar store shares marked down but specialty discounters thrive Tesla shares rise as Musk says Model   set to hit target VW sees production stoppages due to new testing rules Alphabet shareholders reject diversity proposal backed by employees UBS cuts at least     jobs in asset management arm  Bloomberg Oil vs wild rice  Enbridge  opponents gear up final U S  pipeline push CP Rail deal will give workers   percent raise over four years  union Brown Forman upped Jack Daniel's shipments as trade war loomed Drugmaker Lundbeck to settle U S  charity probe for       million Wall Street rises on economic data  easing trade worries Mexico's Walmex says same store sales up     percent in May Wal Mart settles discrimination lawsuit by transgender worker Euro rises to near two week high  yields jump after ECB comments Trump's move to please farmers on biofuels reform draws refinery union ire Congress has few options to stop Trump from saving China's ZTE U S  lawmakers press Facebook over Chinese data sharing Icahn buys small stake in drugmaker Allergan  sources Macau clamps down on use of UnionPay cards to dodge currency controls China says it does not want U S  trade frictions to escalate Delta Air shares slip as rising fuel costs weigh on profits Paul Dacre  editor of the UK's Daily Mail  to stand down Uber jumps into Europe's crowded bike sharing market G  likely to discuss global economy  concerns about U S  trade policy  Japan's Suga Rising exports push U S  trade deficit to seven month low Germany's E ON puts fate of Uniper management in Fortum's hands Mexico minister sees more than    percent chance of initial NAFTA deal this year Volatility may hit Wall Street as Alphabet  Facebook leave tech sector group Honda to start selling Hondajet in Japan next year Online shopping boom keeps hopes high for air freight profits Exclusive  China's ZTE signed preliminary agreement to lift U S  ban  sources Air Baltic's hurry for Bombardier CSeries deal foreshadows jet selling spree World's top wealth fund opposed Musk's double role at Tesla Siemens signs pacts to deepen ties to China's Belt and Road push Fresenius transfers inpatient rehabilitation business to Vamed unit Japan PM Abe  no countries benefit from trade protectionism Alibaba's Cainiao JV to invest       billion in Hong Kong logistics hub Airlines struggle with global pilot shortage French group Thales targets more sales and profit growth for           Athenahealth CEO steps down  company considers sale PetSmart taps advisers to trim    billion debt pile  sources Qatar Airways boss apologizes for remarks on women CEOs Indian police source says still seeking to quiz AirAsia boss  airline denies summons Property investors in Austria give Starwood the cold shoulder Swiss prosecutors will not pursue Novartis over Trump lawyer payments Pfizer pumps      million into venture capital arm Airlines warned against complacency after dream safety run U S  house prices to rise at twice the speed of inflation and pay  Reuters poll Foxconn looks for its next act but faces risks as it diversifies ,2018-06-06,0.3282886002886003,-0.00973881673881674,0.8857,0.107,0.772,0.122,56.84400177001953,0.9551061392245757
4,Italy's Illycaffe launches cold coffee as Starbucks looms Ex Volkswagen CEO summoned to testify in emissions lawsuit  Bild Phony bank accounts not a 'systemic' issue  U S  regulator UK lawmakers have 'lost confidence' in TSB boss over IT crisis Oil gains on Venezuela export cuts  OPEC production levels Kering's Gucci aims to steal luxury crown from Louis Vuitton TSB chairman says embattled CEO has 'full support' of board Yahoo's EU regulator orders privacy changes over data breach Geordie Greig named as new editor of Daily Mail Disney  Fox carved out assets 'surgically'  U S  antitrust chief U S  antitrust official says worries over limiting vertical deals 'misplaced' Some fund managers are avoiding Amazon as it leads U S  market China Huarong to refocus on bad loans amid probes into chairman  investment Deutsche Bank sounds out investors about Commerzbank deal  Bloomberg S P  Nasdaq fall as tech rally loses steam  Dow rises U S  senator queries Alphabet  Twitter on ties with Huawei U S  lawmakers scramble for way to block Trump deal with China's ZTE Chinese phone maker ZTE saved from brink after deal with U S  Euro extends rally on ECB comments  yields fall ahead of G  Broadcom profit beats  expects wireless to remain weak Walmart sues to bar former tax executive from joining Amazon New Zealand allows fired NBC host Matt Lauer to keep his farm Japan's home sharing offerings evaporate ahead of new regulations Bank of America raises planned Paris job moves before Brexit  sources Deutsche Bank says chairman sees no need to bring up Commerzbank deal CEO to be named soon for Berkshire  Amazon  JPMorgan healthcare venture U S  weekly jobless claims drop as labor market picks up steam Elliott's Singer agrees with Buffett  Dimon on profit guidance Daimler fights Tesla  VW with new electric big rig truck Australia's AMP slapped with fourth lawsuit  shares hit six year low Twitter to offer    billion convertible note as shares rally Honolulu lawmakers pass 'surge pricing' cap for ride hailing companies Italy court suspends fine on Telecom Italia over Vivendi control ExxonMobil sees Russian LNG plant's capacity at     million T year  Ifax Fed clambers back to positive real rates  now debate is when to stop Ford plans to close Bordeaux plant if no buyer found Thai Airways to undertake maintenance of Rolls Royce engines Billions in U S  solar projects shelved after Trump panel tariff Fujifilm could walk away from Xerox deal if no progress for six months Kering's Gucci aims to hit    billion euro revenue threshold Buffett  Dimon say quarterly profit forecasts harming economy  WSJ UK's House of Fraser to shut    stores        jobs at risk Tight security to keep protesters far from G  summit Exclusive  U S  Justice Department probes T Mobile Sprint merger effect on smaller wireless companies   sources GM to sell new electric car batteries to Honda in North America McDonald's plans fresh round of layoffs  WSJ IKEA to use only renewable and recycled materials by      U S  ITC says probing Toyota  others in patent infringement case Qualcomm CEO hopes ZTE deal will clear acquisition of NXP in China Google faces EU antitrust fine over Android case in July  sources Top French banks appoint graduate school contemporaries of Macron Trump sticks with hard line on trade as showdown looms at G  College pay off seems elusive for many U S  young people AmTrust agrees to sweetened       billion buyout offer Google faces EU antitrust fine over Android case in July  sources,2018-06-07,0.3936267436267436,0.040662578162578164,-0.7377,0.108,0.793,0.1,56.19300079345703,0.15386912191023328
5,Exclusive  Iran slams U S  for seeking Saudi oil output hike  says OPEC won t comply OPEC likely to reject Iran request for discussion of U S  sanctions Oil falls on concerns over rising supply  weaker demand Airbus nails down Bombardier CSeries deal in boost to jet EU will stand united at G   Italy included  Tusk EU appeals at G  for support for jailed Ukraine film maker France's Macron  Trump talk trade  North Korea in 'cordial' G  meeting  official G  to cooperate against malign interference in elections  draft Shareholder lawsuit attacks Musk's pay  seeks to overhaul Tesla board Airbus to seek CSeries efficiencies across the board  exec UK steps into G  trade dispute  warns of tit for tat dangers U S  can sell pork to Mexico through import quota  despite tariffs  Mexico Wall Street rises  investors eye Fed decision  summit fears ebb Verizon names tech chief CEO  prioritizes  G network over content EU Commission head offers joint EU U S  trade assessment in tariff dispute U S  Justice Department  AT T await nail biter of a court decision France's Macron sees way forward on trade  Trump says working together Disney animation chief  Pixar co founder Lasseter to quit after 'missteps' Kia recalls         vehicles in U S  for air bag issues Trump  Macron cool down the buddy act at Canada's G  U S   EU take small step on trade  but no breakthrough at G  summit Investors focusing on profit margins as rising prices  wages start to bite Canada's Freeland holds firm on tariff retaliation at G  U S  dollar gains  yields dip as G  summit in focus Trump says Russia should be at G  meeting  Moscow not so sure Italy's new PM backs Trump on re admitting Russia into the G  G  communique unlikely due to lack of consensus  officials Apple to make    percent fewer new model iPhones this year  Nikkei Dollar near   week trough  lower U S  yields and strong euro weigh Volkswagen labour boss says will block sale of specialist assets EU regulators to rule on Ryanair  Laudamotion deal by July    Standard Chartered  compliance chief leaves bank after investigation Mitsubishi Materials finds fresh cases of misconduct  loses certification UK's May not snubbed by Trump at G  summit  PM's spokeswoman Britain's FCA goes ahead with disputed 'Aramco' listing rule Goal  Investors line up World Cup winners off the pitch Germany urges European unity in face of trade tensions with U S  Kremlin  responding to Trump  says attending G  not a priority  Sputnik China's ZTE apologizes after paying 'disastrous price' in U S  sanction case Production ramp up first priority in CSeries takeover  Airbus Italy's new PM says to take 'moderate' line on tariffs at G  Porsche to name all electric model Taycan Why Canada's pot legalization won't stop black market sales Tesla must fix 'flaws' in Autopilot after fatal crash  U S  consumer group Ant Financial raises     billion in world's largest ever single fundraising Italy's luxury brand Prada paves way for family succession  CEO Comcast to win unconditional EU okay for Sky bid  sources VW says         cars could be delayed by new testing rules BT boss Patterson steps down after investors lose faith UK  U S  are good friends despite trade row  PM May EU's Tusk anticipates tough G  talks  sees Europe united Exclusive  Malaysia considering seeking return of Goldman Sachs'  MDB fees ,2018-06-08,0.4337534329469814,0.04548829306893823,0.5635,0.109,0.78,0.11,56.04349899291992,-0.1360761652365312
6,KKR to take Envision private for       billion in healthcare push Oil near flat as OPEC supply hike appears less certain More than    percent of WPP investors oppose Sorrell pay arrangements  Sky Clouds over global economy have darkened since G  summit  says IMF's Lagarde UK's May says Russia must change before it returns to G  After 'difficult' G  summit  UK's May warns against unilateral action on trade G  summit 'fiasco' creates huge uncertainty among German exporters  DIHK VW's Skoda says might outsource production to meet demand Wall Street ekes out gains ahead of Singapore summit U S  stocks rise ahead of North Korea summit  despite Trump's G  fireworks Automation could thin Citigroup's investment banking unit jobs  FT U S  reveals ZTE settlement details  ban still in place Mexico judge signs arrest warrant for local JPMorgan head  BVG World Fed up with rising costs  big U S  firms dig into healthcare Worker testifies that Tesla stopped him from organizing union Investors ready to resuscitate Johnson   Johnson's ailing stock Tesla's Autopilot to get 'full self driving feature' in August AT T leads telecom stocks higher ahead of Time Warner ruling 'Fair trade  fool trade'  Trump's tweets spew ire on NATO allies  Trudeau Audi CEO named as suspect in German emissions probe Carrefour takes on French rivals in e commerce with Google tie up Foxconn says investigating labor conditions at China factory used for Amazon G  summit 'commotion' has brought EU closer together  German economy minister KPMG fined      million in Britain over audit of Quindell China's Xiaomi books    billion quarterly loss ahead of blockbuster IPO Bombardier JV wins      billion Los Angeles Airport contract Bitcoin tumbles as hackers hit South Korean exchange Coinrail Biotech's Soon Shiong hiring bankers for Nant cancer drug IPO HSBC to invest        billion by      in push for growth Pompeo says confident G  ties will move forward despite clash Takeda shareholder group aims to block     billion Shire deal Trump  Trudeau swap jokes but hold firm in trade dispute Germany to determine number of Daimler cars fitted with defeat devices  ministry Daimler shares drop on report up to one million cars contain defeat device Norwegian Air says Rolls Royce engine problem a concern Rolls Royce  preparing to cut thousands of jobs  says engine problem has spread Two ex Penn West executives must face U S  SEC fraud charges USG takes    billion offer from Knauf after spurned advances Mitsubishi Materials unveils boardroom shake up as data tampering scandal deepens Carrefour takes on French rivals in e commerce with Google tie up,2018-06-11,0.3507389162561576,0.057676518883415434,-0.9865,0.129,0.816,0.055,56.4995002746582,0.1900832052790591
7,Bitcoin sinks to two month low as downtrend persists Oil mixed as OPEC cites uncertain market outlook for      JPMorgan is sued over Mexican property transfer Tesla short sellers    billion in the red for June as shares soar Wells Fargo workers push for more board access  so far in vain U S  government posts      billion deficit in May Union leaders to meet General Electric in bid to save Virginia jobs As millennials age  more U S  companies look ahead to Generation Z New York top court narrows Martin Act in     billion Credit Suisse case Dissident doyen set to rejoin Fed's rate setting panel Qualcomm will not exit data center business  chip chief says Morgan Stanley's fixed income business has great potential  CEO With rate hike in the bag  focus turns to Fed's policy language Trial begins in     million insider trading case over hacked press releases Gundlach says 'excellent time' to shift into emerging markets Guess Chairman Paul Marciano resigns after probe into improper conduct S P     ends up  Time Warner shares jump after hours Global stocks steady after Trump Kim summit  investors eye Fed Tesla cuts   percent of workforce in search for profit Exclusive  Exxon Mobil breaks with past  bulks up energy trading to boost profit Blackstone in agreement to acquire Australia's Investa Office Fund for      billion AT T to close Time Warner purchase by June     attorney Hurt in past by false dawns  Chinese businessman is wary of bets on North Korea opening up Farewell package for WPP's Sorrell faces investor backlash L'Oreal to appeal after UK setback in haircare patent row China's ZTE to resume trading after      billion U S  settlement Domino's Pizza says CFO leaves  outlook on track Telecom Italia agrees measures with unions equivalent to       layoffs  source Malaysia says U S  to monetize and return assets seized from  MDB probe Ericsson doubles its      forecast for IoT connections Rio Tinto hires CFO from Danish shipper Maersk Financial crime task force eyeing binding crypto exchange rules  Japan official Top WPP shareholder says to back re election of board at AGM VW's Skoda Auto May deliveries rise    percent Huawei patent case shows Chinese courts' rising clout OPEC will squeeze oil buffer to historic lows with an output hike Malaysia's attorney general says received  MDB investigation papers from anti graft agency Trump  in trade feud with allies  say won't let them take advantage of U S  IMF's Lagarde says global economic outlook darkening by the day BMW says May sales of BMW  Mini vehicles dip due to China tariffs U S  SEC charges Bank of America subsidiary     million for RMBS trader lapses VW board to discuss prosecutors' probe into Audi CEO on Monday Louboutin wins EU court battle over distinctive red soles Bank of America executive sees consumer unit's efficiency ratio flat to down GM has no projects underway with Lyft  CEO Barra says With assembly team and samosas  IKEA lays ground for India debut McDonald's to post         million charges for restructuring  layoffs AT T  Justice Department await decision that could determine future of media ,2018-06-12,0.32226754726754725,0.07429422429422429,0.9292,0.071,0.83,0.099,56.965999603271484,0.5382362669047112
8,Elon Musk buys        of Tesla shares Instant View  Fed raises rates again  sees two more hikes in      Traders see fourth Fed interest rate hike this year Oil rises as U S  inventories fall on strong demand Gasoline leads broad increase in U S  producer inflation Volkswagen fined one billlion euros by German prosecutors over emissions cheating Fox shares pop ahead of expected Comcast bid M A gates open with judge's blessing on AT T Time Warner merger Uber hires Facebook's product director as its driver product head Brazil watchdog fines Morgan Stanley  Royal Bank of Canada for forex manipulation UAW elects new leader to face contract talks  federal probe Ford says fuel cell venture with Daimler will close Apple to undercut popular law enforcement tool for cracking iPhones Wall Street falls as Fed signals two more hikes this year Wall Street sees two more Fed hikes in       three in       Reuters poll Exclusive  Venezuela eyes first ever refining of foreign oil   documents Senate  White House gear up for battle over China's ZTE Comcast prepares financing for   st Century Fox buy Mexico judge cancels arrest warrant for JPMorgan executive  bank says Comcast offers     billion to lure Fox from Disney bid Facebook used less for news as youngsters turn to WhatsApp  Reuters Institute After nine years of U S  recovery  Fed sheds anxieties Fed lifts rates amid stronger inflation  drops crisis era guidance Madoff customers' recovery tops    percent with Merkin settlement Treasury yields jump  Wall Street falls after Fed decision British lawmakers press regulator over PwC's BHS audit Trump  Iran spar over oil prices ahead of OPEC meeting Aerion signs up supersonic business jet customers ahead of greenlighting project  executive Renault Nissan Mitsubishi alliance says on track for cost savings goal Blackstone raises      billion for Asia real estate  private equity funds Property agents abandon China's resort island as sales plunge on cooling measures Toyota pumps    billion in Grab in auto industry's biggest ride hailing bet Nissan doubles down on emerging markets as U S  sales slow WPP says four month net sales show improvement Hunt for new WPP CEO after Sorrell is 'well advanced'  chairman WPP says    percent of shareholder votes fail to back Sorrell remuneration package Breakingviews   New ZTE regime could climb out of big hole AT T legal win could spur another jumbo bond  more M As M A gates open with judge's blessing on AT T Time Warner merger AT T wins court approval to buy Time Warner over Trump opposition Exclusive  Saudi Aramco eyes partnerships as it expands refining  petrochems Iran rebukes Trump for latest attack on OPEC Renault boss Ghosn faces tight shareholder vote on pay Instant View  Federal judge OKs AT T takeover of Time Warner Facebook releases new privacy safeguards after ceding to pressure from advertisers Exclusive  Etihad Airways in talks to cancel  defer Boeing    X orders   sources Volkswagen CEO says still trying to overcome diesel cheating scandal Sorrell haunts WPP as shareholders rebel over farewell package U S  automaker GM names Suryadevara CFO to succeed Stevens U S  accuses Fiat Chrysler  union of conspiring to break labor laws Citigroup CFO sees flat second quarter markets revenue versus year earlier Investors wipe    billion off China's ZTE as U S  settlement sinks in Linde Praxair deal gets Brazil antitrust nod ,2018-06-13,0.32551050370817813,0.10908126111614486,0.872,0.082,0.819,0.099,56.739498138427734,0.20565944615321996
9,Cryptocurrency tether used to boost bitcoin prices  study finds Facebook's public relations chief to step down Canada says agreed with U S  to keep NAFTA alive  no talks set Deutsche Bank sells    billion non performing ship loan portfolio  sources Euro falls most since Brexit as ECB delays rate hikes into      Oil mixed as dollar gains and key OPEC meeting looms Exclusive  Microsoft takes aim at Amazon with push for checkout free retail Dollar soars and Wall Street gains as ECB holds off on rate hikes Adobe tops estimates on digital media business momentum Elon Musk's Boring Co to build high speed airport link in Chicago U S  consumer spending accelerating  labor market robust Exclusive  Amazon to tap Brazil beauty obsession with cosmetics partners Broadcom lays off       employees after Brocade merger How Reuters reported the AT T Time Warner ruling first AT T closes     billion deal for Time Warner Atlanta Fed raises U S  second quarter GDP view to     percent Nasdaq hits new closing high  S P     gains after ECB decision  U S  data Malaysia to seek return of  MDB money from banks  political parties Allergan appoints former Abbott executive to its board Engine makers on track with recovery plan for A    engines  Airbus says Renault's Ghosn likely to step down as CEO before term ends  Financial Times U S  energy firms chasing oil price rally stumble on old baggage EU nations back retaliating against U S  steel tariffs Rolls Royce CEO says job cuts unconnected to teams dealing with Trent      issues Embattled ZTE seeks       billion credit line  nominates   board members France urges GE to stick to Alstom job commitments Trump to meet with top trade advisers on activation of China tariffs  source UK's N Brown looks to close all    stores and move online Didi Chuxing tightens car pooling rules after murder threatens to dent image Wall Street wants more female traders  but old perceptions die hard Gloves back on  OPEC and U S  shale producers to deepen ties in Vienna Unilever signals likely FTSE exit as Brazil strike hits sales Robots Luise  Renate join Airbus A    production line in Hamburg Dollar extends rise after robust U S  retail sales data Rolls Royce cuts       jobs at 'pivotal moment' for business VW could face further fines from German authorities Hong Kong market could open cash flood gates for U S  biotechs Musk's Boring Company wins bid to build high speed system in Chicago ,2018-06-14,0.38947720447720435,0.03820502320502321,0.7964,0.062,0.839,0.099,57.60599899291992,0.9787947249955522
